id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-ecstasy-06,ecstasy,A_standard,,133,132,llama8b_inst,"['joy', 'happiness', 'pride', 'nostalgia', 'warmth']",true,:
A-ecstasy-07,ecstasy,A_standard,,165,164,llama8b_inst,"['joy', 'pride', 'happiness', 'gratitude', 'love']",true,:
A-ecstasy-08,ecstasy,A_standard,,224,223,llama8b_inst,"['happiness', 'joy', 'surprise', 'excitement', 'delight']",true,:
A-ecstasy-09,ecstasy,A_standard,,151,150,llama8b_inst,"['wonder', 'delight', 'excitement', 'am', 'fascination']",false,:
A-ecstasy-10,ecstasy,A_standard,,129,128,llama8b_inst,"['joy', 'happiness', 'love', 'Joy', 'gratitude']",true,:
A-grief-01,grief,A_standard,,197,196,llama8b_inst,"['shame', 'despair', 'sadness', 'self', 'depression']",true,:
A-grief-02,grief,A_standard,,128,127,llama8b_inst,"['sadness', 'anger', 'frustration', 'resentment', 'hurt']",true,:
A-grief-03,grief,A_standard,,152,151,llama8b_inst,"['grief', 'sadness', 'sorrow', 'heart', 'deep']",true,:
A-grief-04,grief,A_standard,,248,247,llama8b_inst,"['sadness', 'shame', 'fear', 'trauma', 'shock']",true,:
A-grief-05,grief,A_standard,,254,253,llama8b_inst,"['sadness', 'grief', 'sorrow', 'shock', 'deep']",true,:
A-grief-06,grief,A_standard,,127,126,llama8b_inst,"['concern', 'sadness', 'empathy', 'worry', 'love']",true,:
A-grief-07,grief,A_standard,,170,169,llama8b_inst,"['grief', 'sadness', 'sorrow', 'shock', 'deep']",true,:
A-grief-08,grief,A_standard,,125,124,llama8b_inst,"['sadness', 'grief', 'sorrow', 'compassion', 'empathy']",true,:
A-grief-09,grief,A_standard,,160,159,llama8b_inst,"['sadness', 'nostalgia', 'longing', 'melanch', 'a']",true,:
A-grief-10,grief,A_standard,,157,156,llama8b_inst,"['longing', 'disappointment', 'sadness', 'heart', 'melanch']",true,:
A-loathing-01,loathing,A_standard,,203,202,llama8b_inst,"['disgust', 'Dis', 'rev', 'rep', 'anger']",true,:
A-loathing-02,loathing,A_standard,,148,147,llama8b_inst,"['disappointment', 'frustration', 'anger', 'disgust', 'dismay']",true,:
A-loathing-03,loathing,A_standard,,115,114,llama8b_inst,"['anger', 'frustration', 'resentment', 'betrayal', 'disappointment']",false,:
A-loathing-04,loathing,A_standard,,161,160,llama8b_inst,"['disgust', 'anger', 'outrage', 'indign', 'Dis']",true,:
A-loathing-05,loathing,A_standard,,221,220,llama8b_inst,"['disgust', 'discomfort', 'anxiety', 'distress', 'anger']",true,:
A-loathing-06,loathing,A_standard,,125,124,llama8b_inst,"['disgust', 'rev', 'dist', 'rep', 'frustration']",true,:
A-loathing-07,loathing,A_standard,,175,174,llama8b_inst,"['anger', 'disgust', 'sadness', 'a', 'mixed']",true,:
A-loathing-08,loathing,A_standard,,128,127,llama8b_inst,"['disgust', 'DIS', 'rev', 'rep', 'dist']",true,:
A-loathing-09,loathing,A_standard,,121,120,llama8b_inst,"['disgust', 'rev', 'rep', 'anger', 'horror']",true,:
A-loathing-10,loathing,A_standard,,196,195,llama8b_inst,"['frustration', 'disgust', 'disappointment', 'annoyance', 'anger']",true,:
A-rage-01,rage,A_standard,,193,192,llama8b_inst,"['anger', 'resentment', 'frustration', 'Ang', 'rage']",true,:
A-rage-02,rage,A_standard,,522,521,llama8b_inst,"['anger', 'outrage', 'rage', 'fury', 'indign']",true,:
A-rage-03,rage,A_standard,,156,155,llama8b_inst,"['anger', 'hurt', 'resentment', 'indign', 'frustration']",true,:
A-rage-04,rage,A_standard,,161,160,llama8b_inst,"['anger', 'outrage', 'betrayal', 'disgust', 'rage']",true,:
A-rage-05,rage,A_standard,,132,131,llama8b_inst,"['anger', 'resentment', 'bitterness', 'rage', 'outrage']",true,:
A-rage-06,rage,A_standard,,229,228,llama8b_inst,"['anger', 'outrage', 'fury', 'rage', 'indign']",true,:
A-rage-07,rage,A_standard,,142,141,llama8b_inst,"['anger', 'betrayal', 'outrage', 'rage', 'shock']",true,:
A-rage-08,rage,A_standard,,257,256,llama8b_inst,"['anger', 'AN', 'frustration', 'annoyance', 'Ang']",true,:
A-rage-09,rage,A_standard,,141,140,llama8b_inst,"['frustration', 'anger', 'annoyance', 'irritation', 'resentment']",true,:
A-rage-10,rage,A_standard,,130,129,llama8b_inst,"['anger', 'frustration', 'disappointment', 'annoyance', 'irritation']",true,:
A-terror-01,terror,A_standard,,291,290,llama8b_inst,"['fear', 'Fear', 'shock', 'terror', 'sadness']",true,:
A-terror-02,terror,A_standard,,149,148,llama8b_inst,"['shock', 'fear', 'surprise', 'confusion', 'relief']",true,:
A-terror-03,terror,A_standard,,207,206,llama8b_inst,"['fear', 'Fear', 'terror', 'extreme', 'intense']",true,:
A-terror-04,terror,A_standard,,167,166,llama8b_inst,"['relief', 'fear', 'anxiety', 'fright', 'terror']",true,:
A-terror-05,terror,A_standard,,200,199,llama8b_inst,"['fear', 'anger', 'anxiety', 'shock', 'shame']",true,:
A-terror-06,terror,A_standard,,152,151,llama8b_inst,"['fear', 'anger', 'terror', 'a', 'anxiety']",true,:
A-terror-07,terror,A_standard,,182,181,llama8b_inst,"['fear', 'fright', 'anxiety', 'Fear', 'shock']",true,:
A-terror-08,terror,A_standard,,252,251,llama8b_inst,"['fear', 'anxiety', 'anger', 'Fear', 'terror']",true,:
A-terror-09,terror,A_standard,,139,138,llama8b_inst,"['anxiety', 'fear', 'nostalgia', 'anxious', 'nervous']",true,:
A-terror-10,terror,A_standard,,269,268,llama8b_inst,"['fear', 'shock', 'fright', 'surprise', 'embarrassment']",true,:
A-vigilance-01,vigilance,A_standard,,135,134,llama8b_inst,"['fear', 'anxiety', 'appreh', 'une', 'anxious']",true,:
A-vigilance-02,vigilance,A_standard,,139,138,llama8b_inst,"['anxiety', 'worry', 'fear', 'anxious', 'appreh']",true,:
A-vigilance-03,vigilance,A_standard,,147,146,llama8b_inst,"['anxiety', 'fear', 'appreh', 'anxious', 'une']",true,:
A-vigilance-04,vigilance,A_standard,,142,141,llama8b_inst,"['anxiety', 'relief', 'tension', 'appreh', 'fear']",true,:
A-vigilance-05,vigilance,A_standard,,134,133,llama8b_inst,"['anxiety', 'nervous', 'appreh', 'excitement', 'anticipation']",true,:
A-vigilance-06,vigilance,A_standard,,148,147,llama8b_inst,"['anxiety', 'fear', 'appreh', 'anxious', 'worry']",true,:
A-vigilance-07,vigilance,A_standard,,140,139,llama8b_inst,"['anxiety', 'worry', 'concern', 'anxious', 'fear']",true,:
A-vigilance-08,vigilance,A_standard,,145,144,llama8b_inst,"['anxiety', 'relief', 'excitement', 'appreh', 'nervous']",true,:
A-vigilance-09,vigilance,A_standard,,148,147,llama8b_inst,"['anxiety', 'tension', 'alert', 'appreh', 'anxious']",true,:
A-vigilance-10,vigilance,A_standard,,146,145,llama8b_inst,"['anxiety', 'worry', 'anxious', 'concern', 'appreh']",true,:
