id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
N-ecstasy-d3-c3,neutral,neutral,3,163,162,llama1b_inst,"['excitement', 'relief', 'satisfaction', 'none', 'joy']",false,:,B-ecstasy-d3-v3
N-ecstasy-d3-c4,neutral,neutral,3,178,177,llama1b_inst,"['none', 'excitement', 'satisfaction', 'indifference', 'relief']",false,:,B-ecstasy-d3-v4
N-grief-d1-c1,neutral,neutral,1,151,150,llama1b_inst,"['curiosity', 'surprise', 'excitement', 'confusion', 'nostalgia']",false,:,B-grief-d1-v1
N-grief-d1-c2,neutral,neutral,1,145,144,llama1b_inst,"['relief', 'anxiety', 'frustration', 'surprise', 'excitement']",false,:,B-grief-d1-v2
N-grief-d1-c3,neutral,neutral,1,151,150,llama1b_inst,"['calm', 'none', 'indifference', 'content', 'relief']",false,:,B-grief-d1-v3
N-grief-d1-c4,neutral,neutral,1,150,149,llama1b_inst,"['curiosity', 'none', 'relaxation', 'surprise', 'relief']",false,:,B-grief-d1-v4
N-grief-d2-c1,neutral,neutral,2,160,159,llama1b_inst,"['relief', 'excitement', 'satisfaction', 'surprise', 'curiosity']",false,:,B-grief-d2-v1
N-grief-d2-c2,neutral,neutral,2,166,165,llama1b_inst,"['satisfaction', 'content', 'calm', 'relief', 'nostalgia']",false,:,B-grief-d2-v2
N-grief-d2-c3,neutral,neutral,2,149,148,llama1b_inst,"['relief', 'none', 'calm', 'happiness', 'excitement']",false,:,B-grief-d2-v3
N-grief-d2-c4,neutral,neutral,2,158,157,llama1b_inst,"['nostalgia', 'sadness', 'curiosity', 'regret', 'melanch']",false,:,B-grief-d2-v4
N-grief-d3-c1,neutral,neutral,3,153,152,llama1b_inst,"['surprise', 'happiness', 'relief', 'nostalgia', 'confusion']",false,:,B-grief-d3-v1
N-grief-d3-c2,neutral,neutral,3,160,159,llama1b_inst,"['relief', 'nostalgia', 'guilt', 'sadness', 'happiness']",false,:,B-grief-d3-v2
N-grief-d3-c3,neutral,neutral,3,153,152,llama1b_inst,"['happiness', 'joy', 'empathy', 'relief', 'concern']",false,:,B-grief-d3-v3
N-grief-d3-c4,neutral,neutral,3,152,151,llama1b_inst,"['curiosity', 'relief', 'surprise', 'frustration', 'confusion']",false,:,B-grief-d3-v4
N-loathing-d1-c1,neutral,neutral,1,154,153,llama1b_inst,"['none', 'satisfaction', 'relief', 'gratitude', 'pride']",false,:,B-loathing-d1-v1
N-loathing-d1-c2,neutral,neutral,1,166,165,llama1b_inst,"['none', 'relief', 'satisfaction', 'pride', 'neither']",false,:,B-loathing-d1-v2
N-loathing-d1-c3,neutral,neutral,1,161,160,llama1b_inst,"['satisfaction', 'none', 'relief', 'happiness', 'neutral']",false,:,B-loathing-d1-v3
N-loathing-d1-c4,neutral,neutral,1,171,170,llama1b_inst,"['pride', 'curiosity', 'gratitude', 'excitement', 'satisfaction']",false,:,B-loathing-d1-v4
N-loathing-d2-c1,neutral,neutral,2,166,165,llama1b_inst,"['relief', 'none', 'satisfaction', 'neutral', 'neutrality']",false,:,B-loathing-d2-v1
N-loathing-d2-c2,neutral,neutral,2,174,173,llama1b_inst,"['none', 'satisfaction', 'curiosity', 'anticipation', 'surprise']",false,:,B-loathing-d2-v2
N-loathing-d2-c3,neutral,neutral,2,185,184,llama1b_inst,"['none', 'satisfaction', 'indifference', 'relief', 'neutral']",false,:,B-loathing-d2-v3
N-loathing-d2-c4,neutral,neutral,2,176,175,llama1b_inst,"['none', 'calm', 'relaxation', 'relief', 'satisfaction']",false,:,B-loathing-d2-v4
N-loathing-d3-c1,neutral,neutral,3,164,163,llama1b_inst,"['pride', 'joy', 'happiness', 'gratitude', 'satisfaction']",false,:,B-loathing-d3-v1
N-loathing-d3-c2,neutral,neutral,3,152,151,llama1b_inst,"['satisfaction', 'none', 'pride', 'neutrality', 'gratitude']",false,:,B-loathing-d3-v2
N-loathing-d3-c3,neutral,neutral,3,163,162,llama1b_inst,"['none', 'satisfaction', 'excitement', 'happiness', 'pride']",false,:,B-loathing-d3-v3
N-loathing-d3-c4,neutral,neutral,3,164,163,llama1b_inst,"['satisfaction', 'none', 'happiness', 'pride', 'joy']",false,:,B-loathing-d3-v4
N-rage-d1-c1,neutral,neutral,1,147,146,llama1b_inst,"['happiness', 'surprise', 'relief', 'gratitude', 'worry']",false,:,B-rage-d1-v1
N-rage-d1-c2,neutral,neutral,1,151,150,llama1b_inst,"['satisfaction', 'pride', 'excitement', 'surprise', 'relief']",false,:,B-rage-d1-v2
N-rage-d1-c3,neutral,neutral,1,153,152,llama1b_inst,"['satisfaction', 'happiness', 'gratitude', 'relief', 'pride']",false,:,B-rage-d1-v3
N-rage-d1-c4,neutral,neutral,1,148,147,llama1b_inst,"['relief', 'gratitude', 'anxiety', 'guilt', 'worry']",false,:,B-rage-d1-v4
N-rage-d2-c1,neutral,neutral,2,136,135,llama1b_inst,"['relief', 'happiness', 'satisfaction', 'surprise', 'content']",false,:,B-rage-d2-v1
N-rage-d2-c2,neutral,neutral,2,144,143,llama1b_inst,"['relief', 'none', 'satisfaction', 'anxiety', 'concern']",false,:,B-rage-d2-v2
N-rage-d2-c3,neutral,neutral,2,150,149,llama1b_inst,"['relief', 'satisfaction', 'none', 'surprise', 'frustration']",false,:,B-rage-d2-v3
N-rage-d2-c4,neutral,neutral,2,146,145,llama1b_inst,"['concern', 'relief', 'anxiety', 'none', 'worry']",false,:,B-rage-d2-v4
N-rage-d3-c1,neutral,neutral,3,145,144,llama1b_inst,"['relief', 'excitement', 'surprise', 'curiosity', 'satisfaction']",false,:,B-rage-d3-v1
N-rage-d3-c2,neutral,neutral,3,152,151,llama1b_inst,"['none', 'relief', 'frustration', 'satisfaction', 'surprise']",false,:,B-rage-d3-v2
N-rage-d3-c3,neutral,neutral,3,148,147,llama1b_inst,"['pride', 'appreciation', 'satisfaction', 'gratitude', 'respect']",false,:,B-rage-d3-v3
N-rage-d3-c4,neutral,neutral,3,152,151,llama1b_inst,"['curiosity', 'none', 'concern', 'surprise', 'neutrality']",false,:,B-rage-d3-v4
N-terror-d1-c1,neutral,neutral,1,168,167,llama1b_inst,"['surprise', 'anxiety', 'relief', 'curiosity', 'calm']",false,:,B-terror-d1-v1
N-terror-d1-c2,neutral,neutral,1,163,162,llama1b_inst,"['confusion', 'anxiety', 'indifference', 'none', 'curiosity']",false,:,B-terror-d1-v2
