id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,prompt_type,top5_predictions,correct,final_token_str,matched_control_id
B-vigilance-d3-v4,vigilance,B_clinical,3,182,181,llama1b_inst,zero_shot,"['The', 'Ang', 'Cur', 'He', 'None']",false,:,N-vigilance-d3-c4
N-admiration-d1-c1,neutral,neutral,1,149,148,llama1b_inst,zero_shot,"['The', '', 'Pride', 'None', '']",false,:,B-admiration-d1-v1
N-admiration-d1-c2,neutral,neutral,1,136,135,llama1b_inst,zero_shot,"['The', '', 'Em', '', 'None']",false,:,B-admiration-d1-v2
N-admiration-d1-c3,neutral,neutral,1,147,146,llama1b_inst,zero_shot,"['The', '', 'Respect', 'She', '']",false,:,B-admiration-d1-v3
N-admiration-d1-c4,neutral,neutral,1,144,143,llama1b_inst,zero_shot,"['The', '', '', 'I', '**']",false,:,B-admiration-d1-v4
N-admiration-d2-c1,neutral,neutral,2,142,141,llama1b_inst,zero_shot,"['The', '', 'None', '', 'There']",false,:,B-admiration-d2-v1
N-admiration-d2-c2,neutral,neutral,2,143,142,llama1b_inst,zero_shot,"['The', '', 'None', 'There', '']",false,:,B-admiration-d2-v2
N-admiration-d2-c3,neutral,neutral,2,152,151,llama1b_inst,zero_shot,"['The', '', 'None', 'F', '']",false,:,B-admiration-d2-v3
N-admiration-d2-c4,neutral,neutral,2,146,145,llama1b_inst,zero_shot,"['The', '', '', 'I', 'Em']",false,:,B-admiration-d2-v4
N-admiration-d3-c1,neutral,neutral,3,142,141,llama1b_inst,zero_shot,"['The', '', 'She', '', 'None']",false,:,B-admiration-d3-v1
N-admiration-d3-c2,neutral,neutral,3,142,141,llama1b_inst,zero_shot,"['The', 'None', '', '', 'He']",false,:,B-admiration-d3-v2
N-admiration-d3-c3,neutral,neutral,3,158,157,llama1b_inst,zero_shot,"['The', 'None', 'She', 'Confidence', 'Pride']",false,:,B-admiration-d3-v3
N-admiration-d3-c4,neutral,neutral,3,155,154,llama1b_inst,zero_shot,"['The', '', 'None', 'Sad', '']",false,:,B-admiration-d3-v4
N-amazement-d1-c1,neutral,neutral,1,148,147,llama1b_inst,zero_shot,"['None', 'The', 'She', 'Cur', '']",false,:,B-amazement-d1-v1
N-amazement-d1-c2,neutral,neutral,1,148,147,llama1b_inst,zero_shot,"['The', '', 'None', '', 'There']",false,:,B-amazement-d1-v2
N-amazement-d1-c3,neutral,neutral,1,152,151,llama1b_inst,zero_shot,"['The', '', 'None', 'She', 'Cur']",false,:,B-amazement-d1-v3
N-amazement-d1-c4,neutral,neutral,1,158,157,llama1b_inst,zero_shot,"['', 'The', '', 'I', 'None']",false,:,B-amazement-d1-v4
N-amazement-d2-c1,neutral,neutral,2,143,142,llama1b_inst,zero_shot,"['The', '', 'None', 'Fear', '']",false,:,B-amazement-d2-v1
N-amazement-d2-c2,neutral,neutral,2,144,143,llama1b_inst,zero_shot,"['The', 'None', '', '', 'I']",false,:,B-amazement-d2-v2
N-amazement-d2-c3,neutral,neutral,2,159,158,llama1b_inst,zero_shot,"['The', '', 'None', '', 'There']",false,:,B-amazement-d2-v3
N-amazement-d2-c4,neutral,neutral,2,156,155,llama1b_inst,zero_shot,"['The', '', 'Cur', 'I', '']",false,:,B-amazement-d2-v4
N-amazement-d3-c1,neutral,neutral,3,148,147,llama1b_inst,zero_shot,"['The', 'Support', '', 'He', '']",false,:,B-amazement-d3-v1
N-amazement-d3-c2,neutral,neutral,3,141,140,llama1b_inst,zero_shot,"['The', '', 'Em', 'None', '']",false,:,B-amazement-d3-v2
N-amazement-d3-c3,neutral,neutral,3,142,141,llama1b_inst,zero_shot,"['The', '', '', 'None', 'Em']",false,:,B-amazement-d3-v3
N-amazement-d3-c4,neutral,neutral,3,140,139,llama1b_inst,zero_shot,"['The', '', '', 'This', 'A']",false,:,B-amazement-d3-v4
N-ecstasy-d1-c1,neutral,neutral,1,144,143,llama1b_inst,zero_shot,"['The', '', 'None', 'She', '']",false,:,B-ecstasy-d1-v1
N-ecstasy-d1-c2,neutral,neutral,1,118,117,llama1b_inst,zero_shot,"['The', 'None', '', 'He', '']",false,:,B-ecstasy-d1-v2
N-ecstasy-d1-c3,neutral,neutral,1,140,139,llama1b_inst,zero_shot,"['The', 'None', 'She', '', '']",false,:,B-ecstasy-d1-v3
N-ecstasy-d1-c4,neutral,neutral,1,129,128,llama1b_inst,zero_shot,"['The', '', '', 'F', 'In']",false,:,B-ecstasy-d1-v4
N-ecstasy-d2-c1,neutral,neutral,2,136,135,llama1b_inst,zero_shot,"['The', '', 'She', 'Cur', '']",false,:,B-ecstasy-d2-v1
N-ecstasy-d2-c2,neutral,neutral,2,125,124,llama1b_inst,zero_shot,"['The', '', 'None', 'Cur', '']",false,:,B-ecstasy-d2-v2
N-ecstasy-d2-c3,neutral,neutral,2,133,132,llama1b_inst,zero_shot,"['The', '', 'F', 'He', '']",false,:,B-ecstasy-d2-v3
N-ecstasy-d2-c4,neutral,neutral,2,137,136,llama1b_inst,zero_shot,"['', 'The', '', 'She', 'I']",false,:,B-ecstasy-d2-v4
N-ecstasy-d3-c1,neutral,neutral,3,126,125,llama1b_inst,zero_shot,"['The', '', 'He', '', 'F']",false,:,B-ecstasy-d3-v1
N-ecstasy-d3-c2,neutral,neutral,3,127,126,llama1b_inst,zero_shot,"['', 'The', 'None', 'She', 'Cur']",false,:,B-ecstasy-d3-v2
N-ecstasy-d3-c3,neutral,neutral,3,125,124,llama1b_inst,zero_shot,"['The', '', 'None', '', 'There']",false,:,B-ecstasy-d3-v3
N-ecstasy-d3-c4,neutral,neutral,3,140,139,llama1b_inst,zero_shot,"['The', '', 'Exc', 'None', '']",false,:,B-ecstasy-d3-v4
N-grief-d1-c1,neutral,neutral,1,113,112,llama1b_inst,zero_shot,"['The', '', 'F', 'She', 'Cur']",false,:,B-grief-d1-v1
N-grief-d1-c2,neutral,neutral,1,107,106,llama1b_inst,zero_shot,"['The', '', '', 'F', 'None']",false,:,B-grief-d1-v2
N-grief-d1-c3,neutral,neutral,1,113,112,llama1b_inst,zero_shot,"['The', 'None', '', 'There', 'He']",false,:,B-grief-d1-v3
N-grief-d1-c4,neutral,neutral,1,112,111,llama1b_inst,zero_shot,"['', 'The', 'She', 'Cur', '']",false,:,B-grief-d1-v4
N-grief-d2-c1,neutral,neutral,2,122,121,llama1b_inst,zero_shot,"['The', '', 'Cur', 'She', 'This']",false,:,B-grief-d2-v1
N-grief-d2-c2,neutral,neutral,2,128,127,llama1b_inst,zero_shot,"['The', '', '', 'None', 'He']",false,:,B-grief-d2-v2
N-grief-d2-c3,neutral,neutral,2,111,110,llama1b_inst,zero_shot,"['The', '', 'None', 'There', '']",false,:,B-grief-d2-v3
N-grief-d2-c4,neutral,neutral,2,120,119,llama1b_inst,zero_shot,"['', 'Cur', 'The', '', 'F']",false,:,B-grief-d2-v4
N-grief-d3-c1,neutral,neutral,3,115,114,llama1b_inst,zero_shot,"['The', 'Cur', '', 'He', '']",false,:,B-grief-d3-v1
N-grief-d3-c2,neutral,neutral,3,122,121,llama1b_inst,zero_shot,"['The', '', 'Sad', 'She', 'F']",false,:,B-grief-d3-v2
N-grief-d3-c3,neutral,neutral,3,115,114,llama1b_inst,zero_shot,"['The', '', 'I', 'None', 'F']",false,:,B-grief-d3-v3
N-grief-d3-c4,neutral,neutral,3,114,113,llama1b_inst,zero_shot,"['The', 'None', '', 'She', '']",false,:,B-grief-d3-v4
N-loathing-d1-c1,neutral,neutral,1,116,115,llama1b_inst,zero_shot,"['The', '', 'None', 'Em', 'I']",false,:,B-loathing-d1-v1
N-loathing-d1-c2,neutral,neutral,1,128,127,llama1b_inst,zero_shot,"['The', '', 'None', '', 'There']",false,:,B-loathing-d1-v2
N-loathing-d1-c3,neutral,neutral,1,123,122,llama1b_inst,zero_shot,"['The', 'None', '', '', 'There']",false,:,B-loathing-d1-v3
N-loathing-d1-c4,neutral,neutral,1,133,132,llama1b_inst,zero_shot,"['', 'The', '', 'I', '']",false,:,B-loathing-d1-v4
N-loathing-d2-c1,neutral,neutral,2,128,127,llama1b_inst,zero_shot,"['The', '', 'None', 'She', 'Cur']",false,:,B-loathing-d2-v1
N-loathing-d2-c2,neutral,neutral,2,136,135,llama1b_inst,zero_shot,"['The', '', 'He', 'None', '']",false,:,B-loathing-d2-v2
N-loathing-d2-c3,neutral,neutral,2,147,146,llama1b_inst,zero_shot,"['The', '', 'None', 'Cal', '']",false,:,B-loathing-d2-v3
N-loathing-d2-c4,neutral,neutral,2,138,137,llama1b_inst,zero_shot,"['', 'The', '', 'I', 'She']",false,:,B-loathing-d2-v4
N-loathing-d3-c1,neutral,neutral,3,126,125,llama1b_inst,zero_shot,"['The', '', '', 'Joy', 'None']",false,:,B-loathing-d3-v1
N-loathing-d3-c2,neutral,neutral,3,114,113,llama1b_inst,zero_shot,"['The', '', 'None', '', 'Em']",false,:,B-loathing-d3-v2
N-loathing-d3-c3,neutral,neutral,3,125,124,llama1b_inst,zero_shot,"['The', '', 'None', '', 'There']",false,:,B-loathing-d3-v3
N-loathing-d3-c4,neutral,neutral,3,126,125,llama1b_inst,zero_shot,"['The', '', 'None', 'Em', 'There']",false,:,B-loathing-d3-v4
N-rage-d1-c1,neutral,neutral,1,109,108,llama1b_inst,zero_shot,"['The', '', 'None', 'He', 'There']",false,:,B-rage-d1-v1
N-rage-d1-c2,neutral,neutral,1,113,112,llama1b_inst,zero_shot,"['The', 'She', '', 'Cur', 'None']",false,:,B-rage-d1-v2
N-rage-d1-c3,neutral,neutral,1,115,114,llama1b_inst,zero_shot,"['The', '', 'None', 'She', 'Confidence']",false,:,B-rage-d1-v3
N-rage-d1-c4,neutral,neutral,1,110,109,llama1b_inst,zero_shot,"['The', '', '', '', 'F']",false,:,B-rage-d1-v4
N-rage-d2-c1,neutral,neutral,2,98,97,llama1b_inst,zero_shot,"['The', 'None', '', '', 'Em']",false,:,B-rage-d2-v1
N-rage-d2-c2,neutral,neutral,2,106,105,llama1b_inst,zero_shot,"['The', 'None', '', 'She', '']",false,:,B-rage-d2-v2
N-rage-d2-c3,neutral,neutral,2,112,111,llama1b_inst,zero_shot,"['The', 'None', '', '', 'There']",false,:,B-rage-d2-v3
N-rage-d2-c4,neutral,neutral,2,108,107,llama1b_inst,zero_shot,"['The', '', '', '', 'She']",false,:,B-rage-d2-v4
N-rage-d3-c1,neutral,neutral,3,107,106,llama1b_inst,zero_shot,"['The', 'Cur', '', 'She', 'None']",false,:,B-rage-d3-v1
N-rage-d3-c2,neutral,neutral,3,114,113,llama1b_inst,zero_shot,"['The', '', 'None', 'She', '']",false,:,B-rage-d3-v2
N-rage-d3-c3,neutral,neutral,3,110,109,llama1b_inst,zero_shot,"['The', '', 'None', '', 'He']",false,:,B-rage-d3-v3
N-rage-d3-c4,neutral,neutral,3,114,113,llama1b_inst,zero_shot,"['The', '', 'None', 'Cur', 'She']",false,:,B-rage-d3-v4
N-terror-d1-c1,neutral,neutral,1,130,129,llama1b_inst,zero_shot,"['The', 'She', '', 'F', 'Cur']",false,:,B-terror-d1-v1
N-terror-d1-c2,neutral,neutral,1,125,124,llama1b_inst,zero_shot,"['The', 'She', '', 'None', 'F']",false,:,B-terror-d1-v2
N-terror-d1-c3,neutral,neutral,1,131,130,llama1b_inst,zero_shot,"['The', 'None', '', 'Cur', 'F']",false,:,B-terror-d1-v3
N-terror-d1-c4,neutral,neutral,1,131,130,llama1b_inst,zero_shot,"['The', '', 'F', 'She', '']",false,:,B-terror-d1-v4
N-terror-d2-c1,neutral,neutral,2,131,130,llama1b_inst,zero_shot,"['The', '', '', 'None', 'There']",false,:,B-terror-d2-v1
N-terror-d2-c2,neutral,neutral,2,132,131,llama1b_inst,zero_shot,"['The', '', 'None', '', 'F']",false,:,B-terror-d2-v2
N-terror-d2-c3,neutral,neutral,2,141,140,llama1b_inst,zero_shot,"['The', '', 'None', '', 'Relief']",false,:,B-terror-d2-v3
N-terror-d2-c4,neutral,neutral,2,132,131,llama1b_inst,zero_shot,"['The', '', 'Cur', '', 'F']",false,:,B-terror-d2-v4
N-terror-d3-c1,neutral,neutral,3,133,132,llama1b_inst,zero_shot,"['The', 'She', 'Cur', '', '']",false,:,B-terror-d3-v1
N-terror-d3-c2,neutral,neutral,3,127,126,llama1b_inst,zero_shot,"['The', 'None', '', 'He', '']",false,:,B-terror-d3-v2
N-terror-d3-c3,neutral,neutral,3,151,150,llama1b_inst,zero_shot,"['The', 'Cur', '', 'She', 'None']",false,:,B-terror-d3-v3
