id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-amazement-08,amazement,A_standard,,205,204,gemma9b_base,"['joy', 'happiness', 'surprise', 'Joy', 'excitement']",true,:
A-amazement-09,amazement,A_standard,,129,128,gemma9b_base,"['surprise', 'joy', 'happiness', 'Surprise', 'shock']",true,:
A-amazement-10,amazement,A_standard,,151,150,gemma9b_base,"['surprise', 'fear', 'embarrassment', 'anxiety', 'joy']",true,:
A-ecstasy-01,ecstasy,A_standard,,134,133,gemma9b_base,"['joy', 'happiness', 'pride', 'Joy', 'Happiness']",true,:
A-ecstasy-02,ecstasy,A_standard,,153,152,gemma9b_base,"['joy', 'happiness', 'Joy', 'relief', 'excitement']",true,:
A-ecstasy-03,ecstasy,A_standard,,165,164,gemma9b_base,"['happiness', 'joy', 'pride', 'Joy', 'Happiness']",true,:
A-ecstasy-04,ecstasy,A_standard,,168,167,gemma9b_base,"['joy', 'happiness', 'love', 'Joy', 'immense']",true,:
A-ecstasy-05,ecstasy,A_standard,,159,158,gemma9b_base,"['joy', 'pride', 'relief', 'happiness', 'Joy']",true,:
A-ecstasy-06,ecstasy,A_standard,,137,136,gemma9b_base,"['joy', 'pride', 'happiness', 'Joy', 'love']",true,:
A-ecstasy-07,ecstasy,A_standard,,166,165,gemma9b_base,"['joy', 'happiness', 'pure', 'Joy', 'pride']",true,:
A-ecstasy-08,ecstasy,A_standard,,231,230,gemma9b_base,"['joy', 'happiness', 'Joy', 'pride', 'surprise']",true,:
A-ecstasy-09,ecstasy,A_standard,,165,164,gemma9b_base,"['joy', 'delight', 'happiness', 'excitement', 'wonder']",true,:
A-ecstasy-10,ecstasy,A_standard,,132,131,gemma9b_base,"['joy', 'happiness', 'Joy', 'love', 'excitement']",true,:
A-grief-01,grief,A_standard,,201,200,gemma9b_base,"['sadness', 'shame', 'disgust', 'self', 'Sad']",true,:
A-grief-02,grief,A_standard,,133,132,gemma9b_base,"['anger', 'sadness', 'resentment', 'frustration', 'Anger']",true,:
A-grief-03,grief,A_standard,,159,158,gemma9b_base,"['sadness', 'grief', 'sorrow', 'Sad', 'sad']",true,:
A-grief-04,grief,A_standard,,256,255,gemma9b_base,"['sadness', 'fear', 'anger', 'Sad', 'sad']",true,:
A-grief-05,grief,A_standard,,261,260,gemma9b_base,"['sadness', 'grief', 'sorrow', 'Sad', 'Grief']",true,:
A-grief-06,grief,A_standard,,133,132,gemma9b_base,"['sadness', 'fear', 'Sad', 'happiness', 'love']",true,:
A-grief-07,grief,A_standard,,172,171,gemma9b_base,"['sadness', 'grief', 'Sad', 'shock', 'sorrow']",true,:
A-grief-08,grief,A_standard,,129,128,gemma9b_base,"['sadness', 'Sad', 'grief', 'empathy', 'sad']",true,:
A-grief-09,grief,A_standard,,165,164,gemma9b_base,"['sadness', 'sad', 'Sad', 'guilt', 'depression']",true,:
A-grief-10,grief,A_standard,,163,162,gemma9b_base,"['sadness', 'anger', 'disappointment', 'confusion', 'loneliness']",true,:
A-loathing-01,loathing,A_standard,,210,209,gemma9b_base,"['disgust', 'anger', 'Dis', 'disgusted', 'sadness']",true,:
A-loathing-02,loathing,A_standard,,155,154,gemma9b_base,"['anger', 'disgust', 'disappointment', 'Dis', 'Anger']",true,:
A-loathing-03,loathing,A_standard,,121,120,gemma9b_base,"['anger', 'disgust', 'sadness', 'Anger', 'rage']",true,:
A-loathing-04,loathing,A_standard,,165,164,gemma9b_base,"['disgust', 'anger', 'sadness', 'Dis', 'disgusted']",true,:
A-loathing-05,loathing,A_standard,,223,222,gemma9b_base,"['disgust', 'anxiety', 'fear', 'nausea', 'anger']",true,:
A-loathing-06,loathing,A_standard,,127,126,gemma9b_base,"['disgust', 'anger', 'disgusted', 'Dis', 'rev']",true,:
A-loathing-07,loathing,A_standard,,180,179,gemma9b_base,"['anger', 'disgust', 'sadness', 'Anger', 'Dis']",true,:
A-loathing-08,loathing,A_standard,,131,130,gemma9b_base,"['disgust', 'anger', 'Dis', 'DIS', 'disgusted']",true,:
A-loathing-09,loathing,A_standard,,123,122,gemma9b_base,"['disgust', 'anger', 'Dis', 'fear', 'rev']",true,:
A-loathing-10,loathing,A_standard,,198,197,gemma9b_base,"['disgust', 'anger', 'sadness', 'disgusted', 'frustration']",true,:
A-rage-01,rage,A_standard,,199,198,gemma9b_base,"['anger', 'Anger', 'frustration', 'sadness', 'angry']",true,:
A-rage-02,rage,A_standard,,530,529,gemma9b_base,"['anger', 'Anger', 'rage', 'fury', 'angry']",true,:
A-rage-03,rage,A_standard,,164,163,gemma9b_base,"['anger', 'sadness', 'Anger', 'frustration', 'rage']",true,:
A-rage-04,rage,A_standard,,166,165,gemma9b_base,"['anger', 'sadness', 'Anger', 'betrayal', 'angry']",true,:
A-rage-05,rage,A_standard,,137,136,gemma9b_base,"['anger', 'intense', 'rage', 'Anger', 'sadness']",true,:
A-rage-06,rage,A_standard,,233,232,gemma9b_base,"['anger', 'fear', 'Anger', 'sadness', 'rage']",true,:
A-rage-07,rage,A_standard,,145,144,gemma9b_base,"['anger', 'Anger', 'sadness', 'betrayal', 'angry']",true,:
A-rage-08,rage,A_standard,,259,258,gemma9b_base,"['anger', 'AN', 'frustration', 'Anger', 'sadness']",true,:
A-rage-09,rage,A_standard,,145,144,gemma9b_base,"['anger', 'Anger', 'frustration', 'sadness', 'angry']",true,:
A-rage-10,rage,A_standard,,135,134,gemma9b_base,"['anger', 'sadness', 'Anger', 'AN', 'frustration']",true,:
A-terror-01,terror,A_standard,,298,297,gemma9b_base,"['fear', 'Fear', 'sadness', 'shock', 'anger']",true,:
A-terror-02,terror,A_standard,,156,155,gemma9b_base,"['fear', 'shock', 'Fear', 'surprise', 'terror']",true,:
A-terror-03,terror,A_standard,,211,210,gemma9b_base,"['fear', 'Fear', 'terror', 'fear', 'I']",true,:
A-terror-04,terror,A_standard,,170,169,gemma9b_base,"['fear', 'Fear', 'anxiety', 'terror', 'scared']",true,:
A-terror-05,terror,A_standard,,208,207,gemma9b_base,"['anger', 'fear', 'sadness', 'anxiety', 'extreme']",true,:
A-terror-06,terror,A_standard,,156,155,gemma9b_base,"['fear', 'anger', 'Fear', 'Anger', 'anxiety']",true,:
A-terror-07,terror,A_standard,,186,185,gemma9b_base,"['fear', 'Fear', 'anger', 'anxiety', 'scared']",true,:
A-terror-08,terror,A_standard,,260,259,gemma9b_base,"['fear', 'Fear', 'anger', 'anxiety', 'scared']",true,:
A-terror-09,terror,A_standard,,144,143,gemma9b_base,"['fear', 'anxiety', 'Fear', 'panic', 'terror']",true,:
A-terror-10,terror,A_standard,,273,272,gemma9b_base,"['fear', 'anger', 'Fear', 'shock', 'embarrassment']",true,:
A-vigilance-01,vigilance,A_standard,,140,139,gemma9b_base,"['fear', 'anxiety', 'Fear', 'vigilance', 'anxious']",true,:
A-vigilance-02,vigilance,A_standard,,145,144,gemma9b_base,"['anxiety', 'fear', 'worry', 'Fear', 'anxious']",true,:
A-vigilance-03,vigilance,A_standard,,151,150,gemma9b_base,"['fear', 'anxiety', 'Fear', 'anticipation', 'anxious']",true,:
A-vigilance-04,vigilance,A_standard,,147,146,gemma9b_base,"['fear', 'anxiety', 'stress', 'anticipation', 'tension']",true,:
A-vigilance-05,vigilance,A_standard,,136,135,gemma9b_base,"['anxiety', 'anticipation', 'excitement', 'fear', 'stress']",true,:
A-vigilance-06,vigilance,A_standard,,152,151,gemma9b_base,"['fear', 'anxiety', 'stress', 'anticipation', 'Fear']",true,:
A-vigilance-07,vigilance,A_standard,,141,140,gemma9b_base,"['anxiety', 'fear', 'worry', 'stress', 'concern']",true,:
A-vigilance-08,vigilance,A_standard,,149,148,gemma9b_base,"['anticipation', 'anxiety', 'fear', 'excitement', 'joy']",true,:
A-vigilance-09,vigilance,A_standard,,151,150,gemma9b_base,"['fear', 'anxiety', 'anticipation', 'stress', 'alertness']",true,:
A-vigilance-10,vigilance,A_standard,,149,148,gemma9b_base,"['anxiety', 'fear', 'worry', 'concern', 'anxious']",true,:
