id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-grief-d1-v3,grief,B_clinical,1,159,158,llama8b_base,"['sadness', 'grief', 'fear', 'despair', 'sorrow']",true,:,N-grief-d1-c3
B-grief-d1-v4,grief,B_clinical,1,162,161,llama8b_base,"['sadness', 'grief', 'sorrow', 'fear', 'anger']",true,:,N-grief-d1-c4
B-grief-d2-v1,grief,B_clinical,2,166,165,llama8b_base,"['sadness', 'grief', 'regret', 'despair', 'anger']",true,:,N-grief-d2-c1
B-grief-d2-v2,grief,B_clinical,2,170,169,llama8b_base,"['sadness', 'grief', 'anger', 'melanch', 'sorrow']",true,:,N-grief-d2-c2
B-grief-d2-v3,grief,B_clinical,2,159,158,llama8b_base,"['sadness', 'grief', 'melanch', 'sorrow', 'despair']",true,:,N-grief-d2-c3
B-grief-d2-v4,grief,B_clinical,2,170,169,llama8b_base,"['sadness', 'regret', 'melanch', 'grief', 'resignation']",true,:,N-grief-d2-c4
B-grief-d3-v1,grief,B_clinical,3,165,164,llama8b_base,"['fear', 'anger', 'sadness', 'anxiety', 'confusion']",true,:,N-grief-d3-c1
B-grief-d3-v2,grief,B_clinical,3,159,158,llama8b_base,"['sadness', 'grief', 'anger', 'sorrow', 'regret']",true,:,N-grief-d3-c2
B-grief-d3-v3,grief,B_clinical,3,161,160,llama8b_base,"['sadness', 'regret', 'grief', 'love', 'fear']",true,:,N-grief-d3-c3
B-grief-d3-v4,grief,B_clinical,3,161,160,llama8b_base,"['sadness', 'grief', 'fear', 'sorrow', 'despair']",true,:,N-grief-d3-c4
B-loathing-d1-v1,loathing,B_clinical,1,167,166,llama8b_base,"['disgust', 'anger', 'contempt', 'outrage', 'sadness']",true,:,N-loathing-d1-c1
B-loathing-d1-v2,loathing,B_clinical,1,179,178,llama8b_base,"['anger', 'disgust', 'outrage', 'shock', 'surprise']",true,:,N-loathing-d1-c2
B-loathing-d1-v3,loathing,B_clinical,1,183,182,llama8b_base,"['anger', 'disgust', 'outrage', 'fear', 'sadness']",true,:,N-loathing-d1-c3
B-loathing-d1-v4,loathing,B_clinical,1,181,180,llama8b_base,"['anger', 'betrayal', 'outrage', 'rage', 'sadness']",false,:,N-loathing-d1-c4
B-loathing-d2-v1,loathing,B_clinical,2,172,171,llama8b_base,"['disgust', 'fear', 'horror', 'dread', 'rev']",true,:,N-loathing-d2-c1
B-loathing-d2-v2,loathing,B_clinical,2,197,196,llama8b_base,"['disgust', 'fear', 'anger', 'horror', 'rev']",true,:,N-loathing-d2-c2
B-loathing-d2-v3,loathing,B_clinical,2,215,214,llama8b_base,"['fear', 'disgust', 'horror', 'anxiety', 'Fear']",true,:,N-loathing-d2-c3
B-loathing-d2-v4,loathing,B_clinical,2,194,193,llama8b_base,"['disgust', 'fear', 'anger', 'horror', 'disgusted']",true,:,N-loathing-d2-c4
B-loathing-d3-v1,loathing,B_clinical,3,173,172,llama8b_base,"['anger', 'disgust', 'shock', 'shame', 'sadness']",true,:,N-loathing-d3-c1
B-loathing-d3-v2,loathing,B_clinical,3,167,166,llama8b_base,"['disgust', 'anger', 'distrust', 'cyn', 'contempt']",true,:,N-loathing-d3-c2
B-loathing-d3-v3,loathing,B_clinical,3,181,180,llama8b_base,"['disgust', 'irony', 'anger', 'contempt', 'cyn']",true,:,N-loathing-d3-c3
B-loathing-d3-v4,loathing,B_clinical,3,188,187,llama8b_base,"['anger', 'disgust', 'sadness', 'contempt', 'shame']",true,:,N-loathing-d3-c4
B-rage-d1-v1,rage,B_clinical,1,148,147,llama8b_base,"['anger', 'guilt', 'disgust', 'fear', 'rage']",true,:,N-rage-d1-c1
B-rage-d1-v2,rage,B_clinical,1,165,164,llama8b_base,"['anger', 'disgust', 'sadness', 'fear', 'rage']",true,:,N-rage-d1-c2
B-rage-d1-v3,rage,B_clinical,1,165,164,llama8b_base,"['anger', 'sadness', 'disgust', 'grief', 'shock']",true,:,N-rage-d1-c3
B-rage-d1-v4,rage,B_clinical,1,167,166,llama8b_base,"['anger', 'guilt', 'fear', 'disgust', 'sadness']",true,:,N-rage-d1-c4
B-rage-d2-v1,rage,B_clinical,2,156,155,llama8b_base,"['anger', 'relief', 'sadness', 'indifference', 'confusion']",true,:,N-rage-d2-c1
B-rage-d2-v2,rage,B_clinical,2,163,162,llama8b_base,"['anger', 'disgust', 'outrage', 'frustration', 'indign']",true,:,N-rage-d2-c2
B-rage-d2-v3,rage,B_clinical,2,168,167,llama8b_base,"['anger', 'outrage', 'disgust', 'frustration', 'sadness']",true,:,N-rage-d2-c3
B-rage-d2-v4,rage,B_clinical,2,164,163,llama8b_base,"['anger', 'fear', 'shock', 'guilt', 'grief']",true,:,N-rage-d2-c4
B-rage-d3-v1,rage,B_clinical,3,165,164,llama8b_base,"['anger', 'fear', 'disgust', 'shock', 'horror']",true,:,N-rage-d3-c1
B-rage-d3-v2,rage,B_clinical,3,151,150,llama8b_base,"['fear', 'anger', 'anxiety', 'disgust', 'frustration']",true,:,N-rage-d3-c2
B-rage-d3-v3,rage,B_clinical,3,161,160,llama8b_base,"['anger', 'sadness', 'envy', 'jealousy', 'frustration']",true,:,N-rage-d3-c3
B-rage-d3-v4,rage,B_clinical,3,177,176,llama8b_base,"['anger', 'fear', 'disgust', 'anxiety', 'frustration']",true,:,N-rage-d3-c4
B-terror-d1-v1,terror,B_clinical,1,165,164,llama8b_base,"['fear', 'terror', 'anxiety', 'Fear', 'fright']",true,:,N-terror-d1-c1
B-terror-d1-v2,terror,B_clinical,1,172,171,llama8b_base,"['fear', 'anxiety', 'suspicion', 'nervous', 'confusion']",true,:,N-terror-d1-c2
B-terror-d1-v3,terror,B_clinical,1,170,169,llama8b_base,"['fear', 'anxiety', 'terror', 'suspense', 'Fear']",true,:,N-terror-d1-c3
B-terror-d1-v4,terror,B_clinical,1,171,170,llama8b_base,"['fear', 'anxiety', 'terror', 'anger', 'panic']",true,:,N-terror-d1-c4
B-terror-d2-v1,terror,B_clinical,2,181,180,llama8b_base,"['fear', 'anxiety', 'concern', 'worry', 'anger']",true,:,N-terror-d2-c1
B-terror-d2-v2,terror,B_clinical,2,178,177,llama8b_base,"['fear', 'anxiety', 'terror', 'anger', 'sadness']",true,:,N-terror-d2-c2
B-terror-d2-v3,terror,B_clinical,2,187,186,llama8b_base,"['fear', 'anxiety', 'panic', 'terror', 'Fear']",true,:,N-terror-d2-c3
B-terror-d2-v4,terror,B_clinical,2,184,183,llama8b_base,"['fear', 'terror', 'horror', 'anxiety', 'panic']",true,:,N-terror-d2-c4
B-terror-d3-v1,terror,B_clinical,3,194,193,llama8b_base,"['fear', 'terror', 'anxiety', 'anger', 'surprise']",true,:,N-terror-d3-c1
B-terror-d3-v2,terror,B_clinical,3,168,167,llama8b_base,"['fear', 'anxiety', 'terror', 'Fear', 'horror']",true,:,N-terror-d3-c2
B-terror-d3-v3,terror,B_clinical,3,194,193,llama8b_base,"['fear', 'anxiety', 'terror', 'horror', 'fright']",true,:,N-terror-d3-c3
B-terror-d3-v4,terror,B_clinical,3,189,188,llama8b_base,"['fear', 'anxiety', 'anger', 'Fear', 'worry']",true,:,N-terror-d3-c4
B-vigilance-d1-v1,vigilance,B_clinical,1,208,207,llama8b_base,"['fear', 'anxiety', 'worry', 'concern', 'alert']",true,:,N-vigilance-d1-c1
B-vigilance-d1-v2,vigilance,B_clinical,1,209,208,llama8b_base,"['fear', 'anxiety', 'worry', 'concern', 'joy']",true,:,N-vigilance-d1-c2
B-vigilance-d1-v3,vigilance,B_clinical,1,202,201,llama8b_base,"['fear', 'anxiety', 'worry', 'concern', 'relief']",true,:,N-vigilance-d1-c3
B-vigilance-d1-v4,vigilance,B_clinical,1,191,190,llama8b_base,"['concern', 'fear', 'worry', 'anxiety', 'alert']",true,:,N-vigilance-d1-c4
B-vigilance-d2-v1,vigilance,B_clinical,2,224,223,llama8b_base,"['fear', 'anxiety', 'nervous', 'tension', 'excitement']",true,:,N-vigilance-d2-c1
B-vigilance-d2-v2,vigilance,B_clinical,2,206,205,llama8b_base,"['anxiety', 'fear', 'anticipation', 'tension', 'suspense']",true,:,N-vigilance-d2-c2
B-vigilance-d2-v3,vigilance,B_clinical,2,201,200,llama8b_base,"['anxiety', 'excitement', 'fear', 'tension', 'anticipation']",true,:,N-vigilance-d2-c3
B-vigilance-d2-v4,vigilance,B_clinical,2,211,210,llama8b_base,"['fear', 'anxiety', 'confusion', 'concentration', 'frustration']",true,:,N-vigilance-d2-c4
B-vigilance-d3-v1,vigilance,B_clinical,3,228,227,llama8b_base,"['anticipation', 'anxiety', 'fear', 'boredom', 'excitement']",true,:,N-vigilance-d3-c1
B-vigilance-d3-v2,vigilance,B_clinical,3,208,207,llama8b_base,"['fear', 'anxiety', 'tension', 'calm', 'nervous']",true,:,N-vigilance-d3-c2
B-vigilance-d3-v3,vigilance,B_clinical,3,223,222,llama8b_base,"['fear', 'anxiety', 'anger', 'Fear', 'terror']",true,:,N-vigilance-d3-c3
B-vigilance-d3-v4,vigilance,B_clinical,3,220,219,llama8b_base,"['fear', 'anxiety', 'anticipation', 'tension', 'suspense']",true,:,N-vigilance-d3-c4
N-admiration-d1-c1,neutral,neutral,1,187,186,llama8b_base,"['pride', 'boredom', 'anticipation', 'confidence', 'satisfaction']",false,:,B-admiration-d1-v1
N-admiration-d1-c2,neutral,neutral,1,174,173,llama8b_base,"['boredom', 'neutral', 'calm', 'neutrality', 'indifference']",false,:,B-admiration-d1-v2
N-admiration-d1-c3,neutral,neutral,1,185,184,llama8b_base,"['boredom', 'indifference', 'ap', 'neutral', 'dis']",false,:,B-admiration-d1-v3
N-admiration-d1-c4,neutral,neutral,1,182,181,llama8b_base,"['indifference', 'neutrality', 'neutral', 'none', 'surprise']",false,:,B-admiration-d1-v4
N-admiration-d2-c1,neutral,neutral,2,180,179,llama8b_base,"['satisfaction', 'neutral', 'indifference', 'boredom', 'neutrality']",false,:,B-admiration-d2-v1
N-admiration-d2-c2,neutral,neutral,2,181,180,llama8b_base,"['neutrality', 'indifference', 'neutral', 'compassion', 'boredom']",false,:,B-admiration-d2-v2
N-admiration-d2-c3,neutral,neutral,2,190,189,llama8b_base,"['neutral', 'satisfaction', 'calm', 'indifference', 'none']",false,:,B-admiration-d2-v3
N-admiration-d2-c4,neutral,neutral,2,184,183,llama8b_base,"['boredom', 'neutral', 'indifference', 'neutrality', 'ap']",false,:,B-admiration-d2-v4
N-admiration-d3-c1,neutral,neutral,3,180,179,llama8b_base,"['relief', 'neutral', 'satisfaction', 'calm', 'trust']",false,:,B-admiration-d3-v1
N-admiration-d3-c2,neutral,neutral,3,180,179,llama8b_base,"['neutral', 'surprise', 'relief', 'indifference', 'joy']",false,:,B-admiration-d3-v2
N-admiration-d3-c3,neutral,neutral,3,196,195,llama8b_base,"['calm', 'boredom', 'satisfaction', 'neutral', 'indifference']",false,:,B-admiration-d3-v3
N-admiration-d3-c4,neutral,neutral,3,193,192,llama8b_base,"['relief', 'hope', 'sadness', 'neutral', 'happiness']",false,:,B-admiration-d3-v4
N-amazement-d1-c1,neutral,neutral,1,186,185,llama8b_base,"['calm', 'relief', 'neutral', 'surprise', 'fear']",false,:,B-amazement-d1-v1
N-amazement-d1-c2,neutral,neutral,1,186,185,llama8b_base,"['calm', 'neutral', 'boredom', 'neutrality', 'indifference']",false,:,B-amazement-d1-v2
N-amazement-d1-c3,neutral,neutral,1,190,189,llama8b_base,"['calm', 'neutral', 'interest', 'curiosity', 'excitement']",false,:,B-amazement-d1-v3
N-amazement-d1-c4,neutral,neutral,1,196,195,llama8b_base,"['calm', 'neutral', 'joy', 'tranqu', 'neutrality']",false,:,B-amazement-d1-v4
N-amazement-d2-c1,neutral,neutral,2,181,180,llama8b_base,"['relief', 'calm', 'neutral', 'satisfaction', 'safety']",false,:,B-amazement-d2-v1
N-amazement-d2-c2,neutral,neutral,2,182,181,llama8b_base,"['boredom', 'neutral', 'joy', 'surprise', 'indifference']",false,:,B-amazement-d2-v2
N-amazement-d2-c3,neutral,neutral,2,197,196,llama8b_base,"['neutral', 'calm', 'indifference', 'neutrality', 'gratitude']",false,:,B-amazement-d2-v3
N-amazement-d2-c4,neutral,neutral,2,194,193,llama8b_base,"['fear', 'anxiety', 'surprise', 'confusion', 'joy']",false,:,B-amazement-d2-v4
N-amazement-d3-c1,neutral,neutral,3,186,185,llama8b_base,"['pride', 'neutral', 'confusion', 'empathy', 'surprise']",false,:,B-amazement-d3-v1
N-amazement-d3-c2,neutral,neutral,3,179,178,llama8b_base,"['boredom', 'neutral', 'calm', 'satisfaction', 'indifference']",false,:,B-amazement-d3-v2
N-amazement-d3-c3,neutral,neutral,3,180,179,llama8b_base,"['calm', 'relief', 'indifference', 'neutral', 'boredom']",false,:,B-amazement-d3-v3
N-amazement-d3-c4,neutral,neutral,3,178,177,llama8b_base,"['interest', 'neutral', 'satisfaction', 'curiosity', 'relief']",false,:,B-amazement-d3-v4
N-ecstasy-d1-c1,neutral,neutral,1,182,181,llama8b_base,"['relief', 'calm', 'neutral', 'anxiety', 'anticipation']",false,:,B-ecstasy-d1-v1
N-ecstasy-d1-c2,neutral,neutral,1,156,155,llama8b_base,"['anxiety', 'nervous', 'anticipation', 'calm', 'fear']",false,:,B-ecstasy-d1-v2
N-ecstasy-d1-c3,neutral,neutral,1,178,177,llama8b_base,"['calm', 'neutral', 'relief', 'satisfaction', 'happiness']",false,:,B-ecstasy-d1-v3
N-ecstasy-d1-c4,neutral,neutral,1,167,166,llama8b_base,"['neutral', 'anticipation', 'joy', 'excitement', 'surprise']",false,:,B-ecstasy-d1-v4
N-ecstasy-d2-c1,neutral,neutral,2,174,173,llama8b_base,"['neutral', 'relief', 'anticipation', 'excitement', 'happiness']",false,:,B-ecstasy-d2-v1
N-ecstasy-d2-c2,neutral,neutral,2,163,162,llama8b_base,"['neutral', 'boredom', 'indifference', 'anger', 'frustration']",false,:,B-ecstasy-d2-v2
N-ecstasy-d2-c3,neutral,neutral,2,171,170,llama8b_base,"['nostalgia', 'relief', 'surprise', 'neutral', 'joy']",false,:,B-ecstasy-d2-v3
N-ecstasy-d2-c4,neutral,neutral,2,175,174,llama8b_base,"['neutral', 'boredom', 'indifference', 'calm', 'none']",false,:,B-ecstasy-d2-v4
N-ecstasy-d3-c1,neutral,neutral,3,164,163,llama8b_base,"['relief', 'boredom', 'satisfaction', 'calm', 'neutral']",false,:,B-ecstasy-d3-v1
N-ecstasy-d3-c2,neutral,neutral,3,165,164,llama8b_base,"['calm', 'boredom', 'neutral', 'relief', 'confidence']",false,:,B-ecstasy-d3-v2
N-ecstasy-d3-c3,neutral,neutral,3,163,162,llama8b_base,"['boredom', 'calm', 'neutral', 'relief', 'indifference']",false,:,B-ecstasy-d3-v3
N-ecstasy-d3-c4,neutral,neutral,3,178,177,llama8b_base,"['boredom', 'calm', 'neutral', 'none', 'frustration']",false,:,B-ecstasy-d3-v4
N-grief-d1-c1,neutral,neutral,1,151,150,llama8b_base,"['anxiety', 'confusion', 'disgust', 'boredom', 'frustration']",false,:,B-grief-d1-v1
N-grief-d1-c2,neutral,neutral,1,145,144,llama8b_base,"['neutral', 'confusion', 'anticipation', 'anxiety', 'boredom']",false,:,B-grief-d1-v2
N-grief-d1-c3,neutral,neutral,1,151,150,llama8b_base,"['calm', 'boredom', 'neutral', 'indifference', 'none']",false,:,B-grief-d1-v3
N-grief-d1-c4,neutral,neutral,1,150,149,llama8b_base,"['neutral', 'calm', 'indifference', 'boredom', 'neutrality']",false,:,B-grief-d1-v4
N-grief-d2-c1,neutral,neutral,2,160,159,llama8b_base,"['neutral', 'confusion', 'calm', 'relief', 'boredom']",false,:,B-grief-d2-v1
N-grief-d2-c2,neutral,neutral,2,166,165,llama8b_base,"['calm', 'satisfaction', 'content', 'neutral', 'joy']",false,:,B-grief-d2-v2
N-grief-d2-c3,neutral,neutral,2,149,148,llama8b_base,"['calm', 'indifference', 'boredom', 'neutral', 'sadness']",false,:,B-grief-d2-v3
N-grief-d2-c4,neutral,neutral,2,158,157,llama8b_base,"['sadness', 'melanch', 'nostalgia', 'resignation', 'regret']",false,:,B-grief-d2-v4
N-grief-d3-c1,neutral,neutral,3,153,152,llama8b_base,"['love', 'affection', 'happiness', 'joy', 'content']",false,:,B-grief-d3-v1
N-grief-d3-c2,neutral,neutral,3,160,159,llama8b_base,"['sadness', 'calm', 'confusion', 'nostalgia', 'anxiety']",false,:,B-grief-d3-v2
N-grief-d3-c3,neutral,neutral,3,153,152,llama8b_base,"['calm', 'anticipation', 'love', 'affection', 'neutral']",false,:,B-grief-d3-v3
N-grief-d3-c4,neutral,neutral,3,152,151,llama8b_base,"['relief', 'neutral', 'confusion', 'boredom', 'calm']",false,:,B-grief-d3-v4
N-loathing-d1-c1,neutral,neutral,1,154,153,llama8b_base,"['trust', 'neutrality', 'neutral', 'satisfaction', 'confidence']",false,:,B-loathing-d1-v1
N-loathing-d1-c2,neutral,neutral,1,166,165,llama8b_base,"['surprise', 'suspicion', 'relief', 'confidence', 'skepticism']",false,:,B-loathing-d1-v2
N-loathing-d1-c3,neutral,neutral,1,161,160,llama8b_base,"['trust', 'relief', 'neutral', 'calm', 'satisfaction']",false,:,B-loathing-d1-v3
N-loathing-d1-c4,neutral,neutral,1,171,170,llama8b_base,"['anger', 'pride', 'surprise', 'gratitude', 'admiration']",false,:,B-loathing-d1-v4
N-loathing-d2-c1,neutral,neutral,2,166,165,llama8b_base,"['neutral', 'calm', 'boredom', 'indifference', 'neutrality']",false,:,B-loathing-d2-v1
N-loathing-d2-c2,neutral,neutral,2,174,173,llama8b_base,"['calm', 'neutral', 'curiosity', 'interest', 'surprise']",false,:,B-loathing-d2-v2
N-loathing-d2-c3,neutral,neutral,2,185,184,llama8b_base,"['calm', 'relief', 'neutral', 'surprise', 'indifference']",false,:,B-loathing-d2-v3
N-loathing-d2-c4,neutral,neutral,2,176,175,llama8b_base,"['calm', 'satisfaction', 'neutral', 'relief', 'joy']",false,:,B-loathing-d2-v4
N-loathing-d3-c1,neutral,neutral,3,164,163,llama8b_base,"['sadness', 'surprise', 'anger', 'gratitude', 'pride']",false,:,B-loathing-d3-v1
N-loathing-d3-c2,neutral,neutral,3,152,151,llama8b_base,"['trust', 'neutrality', 'neutral', 'none', 'confidence']",false,:,B-loathing-d3-v2
N-loathing-d3-c3,neutral,neutral,3,163,162,llama8b_base,"['disgust', 'skepticism', 'trust', 'distrust', 'anger']",false,:,B-loathing-d3-v3
N-loathing-d3-c4,neutral,neutral,3,164,163,llama8b_base,"['neutral', 'neutrality', 'none', 'indifference', 'no']",false,:,B-loathing-d3-v4
N-rage-d1-c1,neutral,neutral,1,147,146,llama8b_base,"['anger', 'guilt', 'confusion', 'sadness', 'anxiety']",false,:,B-rage-d1-v1
N-rage-d1-c2,neutral,neutral,1,151,150,llama8b_base,"['anger', 'surprise', 'relief', 'pride', 'joy']",false,:,B-rage-d1-v2
N-rage-d1-c3,neutral,neutral,1,153,152,llama8b_base,"['relief', 'calm', 'satisfaction', 'content', 'joy']",false,:,B-rage-d1-v3
N-rage-d1-c4,neutral,neutral,1,148,147,llama8b_base,"['trust', 'anger', 'relief', 'surprise', 'neutral']",false,:,B-rage-d1-v4
N-rage-d2-c1,neutral,neutral,2,136,135,llama8b_base,"['pride', 'satisfaction', 'neutral', 'boredom', 'relief']",false,:,B-rage-d2-v1
N-rage-d2-c2,neutral,neutral,2,144,143,llama8b_base,"['confusion', 'anger', 'frustration', 'indifference', 'neutral']",false,:,B-rage-d2-v2
N-rage-d2-c3,neutral,neutral,2,150,149,llama8b_base,"['relief', 'satisfaction', 'calm', 'pride', 'neutral']",false,:,B-rage-d2-v3
N-rage-d2-c4,neutral,neutral,2,146,145,llama8b_base,"['neutral', 'confusion', 'none', 'boredom', 'indifference']",false,:,B-rage-d2-v4
N-rage-d3-c1,neutral,neutral,3,145,144,llama8b_base,"['surprise', 'anger', 'confusion', 'relief', 'fear']",false,:,B-rage-d3-v1
N-rage-d3-c2,neutral,neutral,3,152,151,llama8b_base,"['neutral', 'relief', 'confusion', 'satisfaction', 'indifference']",false,:,B-rage-d3-v2
N-rage-d3-c3,neutral,neutral,3,148,147,llama8b_base,"['pride', 'boredom', 'admiration', 'neutral', 'relief']",false,:,B-rage-d3-v3
N-rage-d3-c4,neutral,neutral,3,152,151,llama8b_base,"['anger', 'neutral', 'confusion', 'annoyance', 'neutrality']",false,:,B-rage-d3-v4
N-terror-d1-c1,neutral,neutral,1,168,167,llama8b_base,"['fear', 'anxiety', 'surprise', 'terror', 'Fear']",false,:,B-terror-d1-v1
N-terror-d1-c2,neutral,neutral,1,163,162,llama8b_base,"['anxiety', 'confusion', 'neutral', 'boredom', 'fear']",false,:,B-terror-d1-v2
N-terror-d1-c3,neutral,neutral,1,169,168,llama8b_base,"['boredom', 'calm', 'neutral', 'indifference', 'anxiety']",false,:,B-terror-d1-v3
N-terror-d1-c4,neutral,neutral,1,169,168,llama8b_base,"['calm', 'fear', 'neutral', 'anxiety', 'boredom']",false,:,B-terror-d1-v4
N-terror-d2-c1,neutral,neutral,2,169,168,llama8b_base,"['relief', 'calm', 'neutral', 'satisfaction', 'neutrality']",false,:,B-terror-d2-v1
N-terror-d2-c2,neutral,neutral,2,170,169,llama8b_base,"['calm', 'compassion', 'boredom', 'neutral', 'empathy']",false,:,B-terror-d2-v2
